scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
swedish_baseline_progressivity,21.0,0.39618055889274406,0.32460721711776624,0.08186756841710754,1533308105.8702877,352343697.12667066,1885651802.9969583,1885651802.9969575,0.31414176192140975,0.168254239342148,0.4970829358312374,0.198157434412747,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.2607295955487957,0.26072959554879566,0.2619168877958079,0.27294916342879544,0.297949546762167,0.35456257037987277,0.4342246680270356,0.032301349678027086,0.03328161463053417,0.035868270252531274,0.03627703738119931,0.03786816653652083,0.03861714505523305,0.039673757322257405,0.04154406375532575,0.041064846473315854,0.04221499997687904,0.020008796954907745,0.03988376788861893,0.059842072573688024
swedish_baseline_progressivity,22.0,0.3937760367810592,0.32210228924693973,0.08101178179375619,1533148997.847625,368489170.9137594,1901638168.7613845,1901638168.761385,0.3149480384784695,0.1682122771930128,0.49757210146313136,0.2054814838706756,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.2607295955487957,0.26181450315846094,0.2733566425112751,0.2989979781186873,0.3557131484439857,0.4337002293218915,0.032616585232426144,0.032826200811668524,0.03556532162410296,0.036842622427459594,0.03765157000577521,0.03865299857475776,0.03915045816372754,0.04193561680807258,0.04034545690634404,0.042560162545683906,0.020009183233879776,0.03980960189311377,0.0597442252836177
swedish_baseline_progressivity,23.0,0.39162062244916584,0.3198167564560529,0.08027923512054427,1541162646.3338394,390338042.0350278,1931500688.3688674,1931500688.3688674,0.3178252597128186,0.16864907762937897,0.4959360372599524,0.21470520463926437,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.2618779888739044,0.27290794453058753,0.2986687375738842,0.3575336576635578,0.435214441014411,0.03235800429522878,0.03267473361796908,0.03656452649021201,0.03682585680278311,0.038210110625107915,0.03963020297862121,0.04003403746943925,0.041882500765644974,0.040815733603574184,0.043253650348552254,0.02035392040987248,0.04032805620748394,0.05998194467795057
swedish_baseline_progressivity,24.0,0.3896560713340562,0.3176186047138134,0.07951848943897996,1544253864.3130746,405521048.8575016,1949774913.170576,1949774913.1705756,0.31903824249890067,0.16874181109066932,0.49461343193099405,0.22098551409408043,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.26177139253829307,0.27344429348297206,0.2987752347293415,0.3555819122882875,0.4361051748383152,0.0316762622818463,0.03293238747989524,0.035502870463087616,0.03695368954707168,0.03796498933626389,0.03871961377079695,0.040491667906131464,0.04159679604753687,0.041464940910313275,0.04299201208524525,0.02024104110027176,0.03998824810966735,0.06002407746366762
swedish_baseline_progressivity,25.0,0.387945514838568,0.3156620906865859,0.07887598250996865,1539256219.3602722,424878377.6133431,1964134596.9736152,1964134596.9736154,0.31828558982521193,0.16779769811953238,0.4956254853326989,0.22949504335744372,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26175029587779164,0.2728681406870194,0.29821280466977523,0.35534775085460435,0.4357562032655699,0.03168125600924354,0.03225152741966152,0.03562733881829714,0.03634900018901993,0.03730069945447778,0.03911286826020249,0.040660906654046904,0.04145687282966838,0.041950312797726014,0.04336216614849744,0.0201770281723297,0.040029619561346555,0.05974471661362902
swedish_baseline_progressivity,26.0,0.38638580735344696,0.3138474652513363,0.07822808382198668,1540628970.2172298,442909354.3657282,1983538324.5829582,1983538324.5829582,0.31877731518441066,0.16754421523558483,0.49391672325628866,0.23680324698726313,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26183157519613387,0.27341512455557415,0.29797999049607715,0.3563771213246842,0.435443457973994,0.03161454675114985,0.03236335936711745,0.035415836837030465,0.03599575769552567,0.037110841947221855,0.038883440235958786,0.04040766569749063,0.04214950320934136,0.04177086760215984,0.0437062201429759,0.020146540078970987,0.03984533033210912,0.06008515575015665
swedish_baseline_progressivity,27.0,0.38497041962062917,0.3121930481397292,0.07758138261743154,1540244676.053815,461877389.1216837,2002122065.1754985,2002122065.175498,0.3182920014784387,0.16668356548556185,0.49416945659481715,0.24439524685420044,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.2619587133662062,0.2731256004797743,0.298376967022066,0.353997691050574,0.4358448077495448,0.03161564425949348,0.032798816071891695,0.03556257300874648,0.03609746462498002,0.03726271412758165,0.0390010747271444,0.040066925575072264,0.041684658842137186,0.04169814416297157,0.043795852628794096,0.019906610829769848,0.0401317281961095,0.059812611960616206
swedish_baseline_progressivity,28.0,0.38383958733354384,0.31075193918661886,0.07713470658893565,1544610256.9946814,484691800.3970174,2029302057.3916988,2029302057.3916988,0.3178866717793214,0.16563730457302084,0.49795597829361626,0.2530047378535202,0.2607295955487957,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.2607295955487957,0.2619987037228586,0.2733993059381741,0.29888308683336023,0.35570008261299535,0.4357167075495556,0.030314135256790435,0.03227267426532826,0.03469266314782739,0.03623225051355519,0.03702441761341402,0.039058683473813784,0.0400658912145604,0.041964845675389356,0.042297801744594105,0.04439681111103272,0.01982964419230014,0.03989586193128185,0.05988632026041299
swedish_baseline_progressivity,29.0,0.38283361197268406,0.3094364896586894,0.07670299097642057,1532607361.2905912,503781859.2613478,2036389220.551939,2036389220.5519385,0.31537176401114797,0.16408083540834872,0.4982500458330559,0.26128948835735655,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.26072959554879566,0.2607295955487957,0.2618705190785827,0.2733055732590942,0.29889632675632305,0.35550890061444584,0.43376948868520526,0.030450299038887373,0.031820819745205536,0.03480864566714563,0.03584985624654672,0.036700956428529774,0.03903742053960783,0.0402716869387312,0.04235790597888489,0.0421207541422165,0.04426589156335636,0.019487326489386357,0.039878485870979315,0.06012838523646231
swedish_baseline_progressivity,30.0,0.38197083727820647,0.30824114401538294,0.07624120267234513,1537225540.0543256,527660605.1995686,2064886145.253894,2064886145.2538943,0.3164322566102815,0.16363150261649806,0.4962130661882451,0.26999293229593957,0.2607295955487956,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26072959554879577,0.26176273753150936,0.2731767233762555,0.29738678244293054,0.35548529098235643,0.43513791497167487,0.029633805654483994,0.03302067180959139,0.03441122989584592,0.03639037607654248,0.03672618340101358,0.03911069211263312,0.0403931844744162,0.04217591439317369,0.04254416642455581,0.044996278467775444,0.01994144165863159,0.039968775113777194,0.06007780572108922
