transfer_policy,return_preset,tax_scenario,wealth_gini_difference_relative_to_flat,disposable_income_gini_difference_relative_to_flat,top_10_difference_relative_to_flat,top_1_difference_relative_to_flat,shorrocks_difference_relative_to_flat,top_20_persistence_difference_relative_to_flat,seed
lump_sum_only,baseline_return_heterogeneity,swedish_low_progressivity,-0.004369686581563004,-0.013835985505613158,-0.0019461275926165311,-0.00012995019505501748,-0.0008749999999999591,0.007500000000000062,2
lump_sum_only,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.011486967059785025,-0.03938315612144039,-0.00409739613497323,-0.0001432400053775762,-0.00737500000000002,0.025000000000000022,2
lump_sum_only,baseline_return_heterogeneity,swedish_high_progressivity,-0.018041695917969225,-0.0666091635067303,-0.005575789977260215,-0.00013774445430642102,-0.017875000000000085,0.03750000000000009,2
no_transfers,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
no_transfers,baseline_return_heterogeneity,swedish_low_progressivity,-0.002728237186218063,-0.015096716595375703,-0.00015512232090014733,0.0005899048308375676,-0.0063750000000000195,0.013499999999999956,2
no_transfers,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.007401164901653434,-0.04612040742818646,0.0007800722121890091,0.0017532716692917477,-0.013875000000000082,0.02749999999999997,2
no_transfers,baseline_return_heterogeneity,swedish_high_progressivity,-0.011968926144975356,-0.08200982352276309,0.0022556734147267665,0.002817592341095465,-0.025375000000000036,0.04800000000000004,2
universal_plus_safety_floor,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_low_progressivity,-0.004244253806905185,-0.013418208020773648,-0.001929246104132587,-0.00013052403469897278,-0.0004999999999999449,0.008500000000000063,2
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.01083235825308515,-0.037417047234970635,-0.004014743417810329,-0.00015141399542276113,-0.010375000000000023,0.02300000000000002,2
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_high_progressivity,-0.016626557104549633,-0.06236936781779234,-0.005425335470753134,-0.0001585618812097317,-0.016874999999999973,0.034499999999999975,2
lump_sum_only,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
lump_sum_only,high_return_heterogeneity,swedish_low_progressivity,-0.0036252455393188665,-0.013835985505613158,-0.0019136232476111292,-0.00016395912926533973,-0.0020000000000000018,0.0030000000000000027,2
lump_sum_only,high_return_heterogeneity,swedish_baseline_progressivity,-0.009423594156834803,-0.03938315612144039,-0.004388837643953758,-0.00028906554646114524,-0.003375000000000017,0.008499999999999952,2
lump_sum_only,high_return_heterogeneity,swedish_high_progressivity,-0.01467227457707554,-0.0666091635067303,-0.006284365391186819,-0.0003212455434717931,-0.0030000000000000027,0.01200000000000001,2
no_transfers,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
