decomposition,scenario,seed,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
homogeneous_saving_rates,swedish_baseline_progressivity,0,25.0,0.38008729488645243,0.3249872523153998,0.08497252072164475,1488083707.3722844,395850418.9716405,1883934126.343925,1488083707.3722844,1307332953.51367,109919933.9832752,70830819.87533915,1.0,3018.0,0.3018,0.0317,0.33750665593700035,0.16574050784357452,0.4898597723716751,0.22302552657295094,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2617519017745518,0.2622151110655596,0.27177957687236537,0.2959497408028486,0.35115043553156927,0.43461349913350916,0.029635719265780288,0.03315793117391064,0.03536324018440294,0.03677152744282816,0.0376373558852565,0.03929386465889358,0.03987772597294449,0.04283306414757321,0.0410044128470697,0.04261414714313213,0.020015473021107903,0.039710125445978905,0.0594021062181427
homogeneous_saving_rates,swedish_baseline_progressivity,0,26.0,0.37825996851498966,0.3233597993585148,0.08448831267105754,1492572304.235979,418843384.2338905,1911415688.4698696,1492572304.2359786,1311812779.845987,110759074.98711273,70000449.40287864,0.9999999999999997,3047.0,0.3047,0.0312,0.3382345447684889,0.1659800037148198,0.4959277311800503,0.2328421232780455,0.2617519017745519,0.2617519017745518,0.2617519017745518,0.26175190177455177,0.2617519017745518,0.26210713396573015,0.27190331833705306,0.2962067906498553,0.35398900635859465,0.4349499201364517,0.028814221646777726,0.0330675159229645,0.0353653722902145,0.036507125710135625,0.03731971388907254,0.03962980290662839,0.03970576216741138,0.043558674770938395,0.041598619937528954,0.0440616780817593,0.01998993414456161,0.039741275516292834,0.06007501168137633
homogeneous_saving_rates,swedish_baseline_progressivity,0,27.0,0.37637499780918215,0.32155935681520736,0.08388880468855901,1497549120.936483,434146323.30708003,1931695444.243563,1497549120.9364824,1318853586.9612317,111239792.8845098,67455741.09074093,0.9999999999999997,3039.0,0.3039,0.0307,0.3375915688594058,0.16576895472549524,0.4879717485905861,0.23870011649205816,0.2617519017745519,0.2617519017745518,0.2617519017745518,0.26175190177455177,0.2617519017745518,0.26226064768639884,0.2719524638156348,0.2966485785547492,0.35513540693011086,0.4349288940299767,0.02877053001666616,0.033647363499728425,0.03547716068681501,0.03659256839939008,0.03782717869895751,0.04005102293704974,0.040322309268776155,0.04385507289670166,0.042370743765678655,0.04315652953845192,0.019951951799103553,0.040249967126137695,0.060081333843964094
homogeneous_saving_rates,swedish_baseline_progressivity,0,28.0,0.37478304536800544,0.31999394427190764,0.08340883861436578,1494246886.385607,454398325.8413135,1948645212.2269204,1494246886.3856068,1313425373.1631556,111748627.35883002,69072885.86362131,0.9999999999999999,3068.0,0.3068,0.0313,0.3391111615820921,0.16635693130748952,0.4891405538112732,0.2476632133203163,0.2617519017745518,0.2617519017745519,0.2617519017745519,0.2617519017745519,0.2617519017745519,0.26213530295741566,0.2714462239102385,0.29597931877698547,0.3550614079264194,0.43512094721235856,0.028455721132725823,0.033411675770735214,0.03567803433184229,0.036525846160468035,0.03783850253372832,0.039999992262557876,0.04084548453910287,0.043267866800124934,0.04267742985600384,0.04373420756486405,0.020359807566047734,0.03999822580952609,0.06028255418196616
homogeneous_saving_rates,swedish_baseline_progressivity,0,29.0,0.3733839723010053,0.3185797211835075,0.08294516392032993,1492325207.9169512,472068256.7662732,1964393464.6832242,1492325207.9169507,1316150261.3871129,111290080.27231233,64884866.25752582,0.9999999999999997,3076.0,0.3076,0.0292,0.3376563635942895,0.16623853345377615,0.48795201350288586,0.254877400699846,0.2617519017745519,0.2617519017745519,0.2617519017745518,0.2617519017745518,0.2617519017745519,0.26214040875519073,0.27169778708290127,0.294736148951327,0.3534882319940492,0.4353209240940775,0.02818571444128122,0.032671603648830434,0.03491768990380888,0.036626849592725,0.03782767903947175,0.04012298932631388,0.040522961644489146,0.04372898750110592,0.04250514656687673,0.04385263345933865,0.020121010143925297,0.040073057633922826,0.05972111916420286
homogeneous_saving_rates,swedish_baseline_progressivity,0,30.0,0.37215944975324344,0.3172087481045108,0.08248839733294401,1488182367.4732482,491543002.2237161,1979725369.6969645,1488182367.473248,1308345804.6332636,111933919.7232908,67902643.11669365,0.9999999999999999,3047.0,0.3047,0.0304,0.3388846381998927,0.16655562029930815,0.4884291146204669,0.263037704860931,0.2617519017745518,0.2617519017745519,0.2617519017745518,0.26175190177455177,0.2617519017745519,0.26213882248815357,0.27152794793545487,0.294400804356083,0.3522586451832149,0.4351703332157528,0.027990662402645864,0.03299354913018823,0.03402509020683017,0.03625584820924369,0.03781236353118218,0.04075764002218911,0.041047950247227946,0.043576689722550896,0.04337720269044704,0.04346257103189485,0.02013989468145267,0.04003838595877524,0.0599459119876452
homogeneous_saving_rates,swedish_high_progressivity,0,1.0,0.5619618530279586,0.45691315859184484,0.1290591832071935,1289834337.0655081,113493163.69197547,1403327500.7574835,1289834337.0655086,1165325655.414534,55923726.67804642,68584954.97292812,1.0000000000000004,2114.0,0.2114,0.0295,0.2682878143245333,0.11742803551027348,0.6193512918377684,0.08098483627670677,0.21330209393986968,0.21330209393986968,0.21330209393986968,0.21330209393986968,0.2133020939398697,0.2175397001419989,0.24497902309414796,0.302276359081102,0.36572311544019265,0.45525393314498225,0.03846692081303411,0.03836936747177101,0.038407081445093014,0.038551621623965915,0.037320835768893036,0.0379848265976086,0.03851854079789476,0.03717546843931977,0.03818583153482013,0.038124604491369736,0.020123444382014914,0.039939559300173816,0.06011835422994305
homogeneous_saving_rates,swedish_high_progressivity,0,2.0,0.5436053289311371,0.4449916223863827,0.1250546586684697,1332934712.883442,121902500.40461051,1454837213.2880526,1332934712.8834422,1202062154.635987,64935215.24059988,65937343.00685505,1.0000000000000002,2241.0,0.2241,0.0286,0.281697106918376,0.12208711174509168,0.6081561316874642,0.08557022441219225,0.2133020939398697,0.2133020939398697,0.21330209393986968,0.21330209393986965,0.21330209393986968,0.21748153622171423,0.24754825556865098,0.30885477086049445,0.37411933775751754,0.4643103496939874,0.03785178198542224,0.038340103653267905,0.03770612631699653,0.03772112866906248,0.03770767820718237,0.03803406385646287,0.038141573931851976,0.037592903580874235,0.038861485190596394,0.03816151352305016,0.01992715799427448,0.0399039087701035,0.060007800544709354
homogeneous_saving_rates,swedish_high_progressivity,0,3.0,0.5268205739377783,0.43413001080208136,0.12136519626811412,1366379782.3189535,129478620.80270249,1495858403.1216562,1366379782.3189538,1226688557.8723059,71269414.36790657,68421810.07874158,1.0000000000000002,2339.0,0.2339,0.0304,0.2938462951675438,0.12605684642982395,0.5928074124698499,0.08970487529863166,0.2133020939398697,0.21330209393986965,0.21330209393986968,0.2133020939398697,0.21330209393986974,0.21749257320040583,0.24978232439461864,0.31198422912204044,0.38027291802760055,0.47161874501124335,0.0382725447741038,0.03844933254169063,0.03801898645448928,0.03793897919223367,0.037872708504610816,0.03808513947337586,0.03850052028930017,0.037478180660618324,0.03710808966524348,0.03904008024838951,0.019888875080935304,0.04006524229430873,0.05998502929284133
homogeneous_saving_rates,swedish_high_progressivity,0,4.0,0.5114581607476925,0.42390828509446155,0.11779574636759278,1403699571.6637075,136846544.58843336,1540546116.252141,1403699571.6637077,1255352048.746501,77513155.43289374,70834367.48431304,1.0000000000000002,2482.0,0.2482,0.0318,0.30521782093752114,0.12973653343461922,0.5764361665223823,0.09360833702473038,0.21330209393986965,0.2133020939398697,0.21330209393986968,0.21330209393986968,0.21330209393986965,0.21740765813207522,0.2551816056827251,0.31920167950757733,0.38857343365742136,0.4765379035358361,0.03784756559128189,0.03730903507628501,0.038362769980894156,0.03778958070520335,0.03745299073744336,0.03809680882394743,0.038235570396626894,0.037987202147598355,0.03829448689598545,0.03879570059399306,0.01994299015377048,0.0399633160743472,0.05986393051028295
homogeneous_saving_rates,swedish_high_progressivity,0,5.0,0.4974129670698264,0.41455379239386964,0.1147030216895052,1439922794.8442967,146180486.17363977,1586103281.0179365,1439922794.8442967,1298991077.648851,80869681.61801127,60062035.57743462,1.0,2514.0,0.2514,0.0267,0.310133423594126,0.13212905368844785,0.5682282740446702,0.09823695531732825,0.21330209393986965,0.21330209393986965,0.21330209393986968,0.21330209393986965,0.21330209393986968,0.21793727612546784,0.2559386786298598,0.3217915224204488,0.39412618926164583,0.4820657744797078,0.03780885648102736,0.03744982128762842,0.037893465068083956,0.0374885301291334,0.038077652684174824,0.03848341342091196,0.03843820046785788,0.03722256579858817,0.037828066719307996,0.03913376881516777,0.01979603026199585,0.039949800885658734,0.05994224138265695
homogeneous_saving_rates,swedish_high_progressivity,0,6.0,0.4847954581046323,0.4060664833645188,0.11181566112038768,1452704164.0027113,155773317.1124345,1608477481.1151457,1452704164.002711,1295356085.2709045,83133184.08881804,74214894.64298852,0.9999999999999999,2551.0,0.2551,0.033,0.3200414118916377,0.13466315341169977,0.5583039479048495,0.10400711195625757,0.21330209393986968,0.2133020939398697,0.21330209393986968,0.2133020939398697,0.21330209393986968,0.21760398886294668,0.25590558241673284,0.32364012964918715,0.3960771533424515,0.4851866475272927,0.037416774547906775,0.03704934332495182,0.03765331822053251,0.03754582081091594,0.038420431604082726,0.03804568019945512,0.03907716489010514,0.03808200361126518,0.0375395978601876,0.03961829485285675,0.02006363845243144,0.039917339895834236,0.059936595198506644
homogeneous_saving_rates,swedish_high_progressivity,0,7.0,0.4732732973489835,0.3981630484688727,0.10922660084063279,1471285245.4257681,165855166.75847894,1637140412.1842473,1471285245.4257684,1316077744.3288288,86550185.39234096,68657315.70459856,1.0000000000000002,2598.0,0.2598,0.0305,0.32253473061799753,0.13588780501362652,0.5504155163073721,0.10934720443912603,0.21330209393986965,0.21330209393986965,0.2133020939398697,0.2133020939398697,0.21330209393986965,0.21749399237183256,0.2607890579651198,0.3287494842610411,0.3965705740001243,0.48697001390713573,0.03681647958181454,0.03644641653060274,0.038419825677528066,0.03734974325801294,0.03804016856650123,0.03865408871832379,0.03866190116387659,0.03852744949459397,0.03871729863730138,0.03956679394429074,0.01995635677605951,0.04008043841476988,0.06006345117584993
homogeneous_saving_rates,swedish_high_progressivity,0,8.0,0.4626616341697738,0.390750966351892,0.10667774171460213,1487673458.7190688,174855740.6748954,1662529199.3939643,1487673458.7190688,1337766171.2867813,88562842.7483166,61344444.683970734,1.0,2628.0,0.2628,0.027,0.324282355236446,0.13698772649930446,0.5389629899548296,0.11408016802503895,0.21330209393986965,0.21330209393986968,0.21330209393986965,0.21330209393986968,0.21330209393986965,0.2178582550310172,0.25931124733412786,0.330093692083365,0.4012063716943361,0.4886767088803424,0.03646350314550694,0.03727511721482251,0.03822400050807591,0.03692808614171156,0.03797869202897723,0.03842311826232916,0.0387197509793573,0.039264883975817684,0.03907682971086593,0.03980477837242713,0.020163504219940117,0.040141623211365426,0.060080911157766155
