return_preset,scenario,tax_system,transfer_policy,calibrated_rate,first_year_revenue_difference,final_gini,final_pre_tax_labour_income_gini,final_disposable_income_gini,final_capital_income_gini,final_capital_income_share,final_transfer_spending_share,final_means_tested_recipient_count,final_means_tested_recipient_share,final_unemployment_rate,final_top_10_share,final_top_1_share,shorrocks_index,top_20_persistence,seed
high_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.4594971473589393,0.3341433057212604,0.2017225365873745,0.6675577970569275,0.30620086783908257,1.0000000000000002,3346.0,0.3346,0.0283,0.3637790479873905,0.09957782453456547,0.80875,0.6075,1
high_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.3327589646122455,-7.152557373046875e-07,0.45602032386943847,0.3341433057212604,0.18836897349082804,0.6660540319727841,0.30624513726921887,0.9999999999999998,3272.0,0.3272,0.0283,0.3619613319809435,0.09951018263237564,0.808125,0.609,1
high_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.34342107922159393,0.0,0.45076559495472757,0.3341433057212604,0.16421933411908118,0.6637999468358704,0.306294349262914,0.9999999999999999,3056.0,0.3056,0.0283,0.3597180444292488,0.09947650231387302,0.8089999999999999,0.6115,1
high_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3164182280030343,2.384185791015625e-07,0.44615110253670376,0.3341433057212604,0.13869274999954873,0.6618550289632248,0.3063454941809402,0.9999999999999999,2668.0,0.2668,0.0283,0.35806383353258553,0.09946846839792722,0.807875,0.617,1
low_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.3881410482020242,0.33667329991631734,0.203378186289775,0.4009007196963916,0.25459955907970105,1.0,3348.0,0.3348,0.0291,0.314218194337316,0.08251420854462539,0.710125,0.7555,2
low_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.3321439708741842,-4.76837158203125e-07,0.383682452851277,0.33667329991631734,0.18991551450929545,0.3967363010180571,0.2545887158140065,1.0,3277.0,0.3277,0.0291,0.31255396637510935,0.08244526315825175,0.7075,0.762,2
low_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.3417973840248987,-2.384185791015625e-07,0.37668209795799434,0.33667329991631734,0.16575405843307323,0.39024280219038454,0.25457759330310176,1.0000000000000002,3024.0,0.3024,0.0291,0.31092868596695455,0.08241568732132547,0.702125,0.78,2
low_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3131074076473533,0.0,0.3704459909761346,0.33667329991631734,0.14057054212640852,0.3845093287988941,0.25457251636311806,0.9999999999999997,2662.0,0.2662,0.0291,0.3098861943470459,0.08241301520082324,0.692125,0.796,2
baseline_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.4022316168665754,0.33667329991631734,0.203378186289775,0.5050692074930319,0.2598131510322149,1.0,3348.0,0.3348,0.0291,0.3233028818969801,0.08418245887628521,0.739625,0.7165,2
baseline_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.3321439708741842,-4.76837158203125e-07,0.39798208813888225,0.33667329991631734,0.18991551450929545,0.5022461112476466,0.2597799581896275,1.0,3277.0,0.3277,0.0291,0.32138176161894344,0.08405087754975875,0.7364999999999999,0.7235,2
baseline_return_heterogeneity,swedish_baseline_progressivity,swedish,swedish_transfer,0.3417973840248987,-2.384185791015625e-07,0.3913798961629369,0.33667329991631734,0.16575405843307323,0.49796688696224445,0.25973722237979247,1.0000000000000002,3024.0,0.3024,0.0291,0.31929051003582254,0.08403257423826838,0.7286250000000001,0.7375,2
baseline_return_heterogeneity,swedish_high_progressivity,swedish,swedish_transfer,0.3131074076473533,0.0,0.3855661378316526,0.33667329991631734,0.14057054212640852,0.49427254800126574,0.25970487273841714,0.9999999999999997,2662.0,0.2662,0.0291,0.31786685192124137,0.08402361577276841,0.724625,0.7495,2
high_return_heterogeneity,flat,flat,swedish_transfer,0.3,0.0,0.4523364032500967,0.33667329991631734,0.203378186289775,0.6627564125711403,0.300229847935948,1.0,3348.0,0.3348,0.0291,0.35516304923787745,0.09438984990149846,0.819125,0.6035,2
high_return_heterogeneity,swedish_low_progressivity,swedish,swedish_transfer,0.3321439708741842,-4.76837158203125e-07,0.4488201423648275,0.33667329991631734,0.18991551450929545,0.661075077310912,0.30015173792833494,1.0,3277.0,0.3277,0.0291,0.3532714702934668,0.09421167724932385,0.81725,0.6065,2
