decomposition,scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,universal_transfer_spending,means_tested_transfer_spending,unemployment_transfer_spending,transfer_spending_share,means_tested_recipient_count,means_tested_recipient_share,unemployment_rate,pre_tax_labour_income_gini,disposable_income_gini,capital_income_gini,capital_income_share,avg_tax_rate_income_decile_1,avg_tax_rate_income_decile_2,avg_tax_rate_income_decile_3,avg_tax_rate_income_decile_4,avg_tax_rate_income_decile_5,avg_tax_rate_income_decile_6,avg_tax_rate_income_decile_7,avg_tax_rate_income_decile_8,avg_tax_rate_income_decile_9,avg_tax_rate_income_decile_10,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
no_transfers,flat,27.0,0.48516674047683006,0.3781463821605798,0.09832216215914209,1402017510.8813357,357866460.6658743,1759883971.54721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.3406852676018981,0.3406852676018979,0.5684068829279276,0.2032695031297046,0.3,0.3,0.3,0.30000000000000004,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.03268286035621657,0.03383673268336474,0.03507255734921702,0.03613784288512394,0.03741199323556328,0.0390815386806274,0.04054441199323304,0.04103154415189101,0.04115788763172999,0.04374771718217748,0.020012881738113355,0.040155631641689435,0.06015499499770216
no_transfers,flat,28.0,0.4847450928585282,0.3773227986008604,0.09808703229184502,1399805304.2324736,372922077.44162685,1772727381.6741002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268,0.3375573598418582,0.3375573598418584,0.5683618928877316,0.2102946947043173,0.30000000000000004,0.3,0.29999999999999993,0.3,0.3,0.29999999999999993,0.30000000000000004,0.3,0.3,0.3,0.0319286251637538,0.03389984829612864,0.034717921887966116,0.03626145177749366,0.038057850265526,0.03923241498858685,0.04032488975606158,0.041459910379117754,0.04088872914059344,0.043687017713579246,0.020367462988909072,0.0399573941789051,0.05999234662693331
no_transfers,flat,29.0,0.48450409362172464,0.3766611167836089,0.09798629303960465,1384074119.2396543,388289475.9067507,1772363595.1464052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.3376452620034287,0.3376452620034287,0.5722202691064313,0.2190157202741191,0.3,0.29999999999999993,0.3,0.3,0.3,0.3,0.3,0.29999999999999993,0.3,0.30000000000000004,0.031976883943417654,0.03345306636779826,0.034097886288883,0.03623070866798796,0.037888318377269525,0.039036155342456684,0.04038965022442913,0.04125985185883725,0.041236979020593284,0.04360280634636557,0.01985646129332231,0.04007017472974629,0.05983625409242054
no_transfers,flat,30.0,0.48435209180275796,0.3761053416440096,0.09781166177850152,1386745444.2338223,402837830.41137934,1789583274.6452012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.3406831797654437,0.3406831797654437,0.5732407608440719,0.2250193930467655,0.3,0.3,0.3,0.3,0.3,0.3,0.30000000000000004,0.3,0.3,0.3,0.03222710932922928,0.03322238489789491,0.0343307192612923,0.035298403610051425,0.03763864205898846,0.03959736482128233,0.03999605522676724,0.04161440025442353,0.040842013287542146,0.04423659601000135,0.019703928368697596,0.04006706368226793,0.05999012520877095
no_transfers,swedish_baseline_progressivity,1.0,0.5714592475627633,0.46411851828556705,0.12628006538724865,1291500735.5242941,115024697.3406164,1406525432.8649106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.26925309451352564,0.23731700621374108,0.6237710506428162,0.08166779657161273,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26091531333357587,0.2670298562364171,0.2818608290827117,0.31475735796930376,0.3954466123735709,0.0383026743207178,0.03784584342272458,0.03810101919210348,0.03810652050385528,0.038040776580262885,0.0377162165375062,0.0379839653383161,0.03920357006464528,0.03809728843543104,0.038217300151834104,0.020221986413946964,0.040177990271560854,0.06023964544530334
no_transfers,swedish_baseline_progressivity,2.0,0.5618103340104632,0.45761163006786243,0.124230092357803,1336580746.2776682,119438893.10448349,1456019639.3821516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.28544610848508145,0.2496828743908912,0.6173074732027137,0.08330621659402163,0.26072959554879566,0.26072959554879566,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2609282185444199,0.2680584462811249,0.28459745683182697,0.32402069353422824,0.4065401895104455,0.037961727070711236,0.037651086027015265,0.03725348827520242,0.037300069198608475,0.03809611328202173,0.037555414561478144,0.03765619695596604,0.03851539161193108,0.03756415397741019,0.03795726191764157,0.019547025782087803,0.039933618071684975,0.05981264275144544
no_transfers,swedish_baseline_progressivity,3.0,0.5530786106186354,0.4514572965766176,0.12228754224158933,1371249329.8814104,125582140.95802283,1496831470.8394332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.295086343926819,0.2568026759473585,0.6099568464803911,0.08619800028252707,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26072959554879566,0.2611544698317247,0.2687448892194451,0.2862011584055855,0.32980663055324577,0.41381693995323354,0.037534342479637925,0.037962891125794714,0.03650074518597865,0.03738674898702504,0.03824495116159709,0.037170108567534006,0.03797542403217699,0.038603019478755295,0.03802394715601691,0.03859709538831283,0.019788325436876038,0.03993152759888695,0.059698138591321316
no_transfers,swedish_baseline_progressivity,4.0,0.5452804539077596,0.44573640603231535,0.12046709260721639,1385301938.0962179,132056806.76476087,1517358744.8609788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.303249898199623,0.26382898848715075,0.6032169568180321,0.08998031988895733,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.26072959554879566,0.2610759608975351,0.26904143760140353,0.2880773489548557,0.33267386196455734,0.4170655783222744,0.03677229224260951,0.03769846475449238,0.03710209039506235,0.037215478500349265,0.03753475638409368,0.03859233024642201,0.03842174588291289,0.03862233234094081,0.037515779145575835,0.03892208395673489,0.020020818916762585,0.039862261884812095,0.059720203231290146
no_transfers,swedish_baseline_progressivity,5.0,0.5382867473384136,0.4403925827393363,0.11878160580730739,1409708702.71328,139216410.85528708,1548925113.5685673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.3101464032774537,0.2690073354786011,0.5990020861413143,0.09368099863507119,0.2607295955487956,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.26072959554879566,0.26111196616280513,0.2694531275561795,0.28950562209205255,0.3389698772247636,0.4208539528622418,0.03718385176732597,0.0369878538581072,0.03711002141539856,0.038427539282823046,0.037569318733652254,0.03776931755270772,0.039133532423973744,0.039361336311853096,0.037377189058599596,0.03945949547924162,0.020058768577593738,0.04021474911898644,0.05977365322973141
no_transfers,swedish_baseline_progressivity,6.0,0.5320664938495172,0.43531349387055185,0.11721134092421001,1421957650.1153014,145745609.23457,1567703259.3498714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.31566448102849254,0.27372759442454897,0.5929908303861702,0.09736284553305231,0.26072959554879566,0.26072959554879566,0.2607295955487957,0.2607295955487957,0.2607295955487957,0.26111707144834306,0.2699938624371012,0.29099180954284504,0.34200400164474937,0.42279533050285867,0.036947853792873776,0.03693237285636376,0.036955945508166735,0.037081179432577965,0.03836275124953949,0.038267623856411144,0.038917966736583466,0.03916835020287583,0.0385289584337999,0.03917654750726988,0.0201361214961939,0.03994931121688565,0.060302784268783695
