scenario,year,wealth_gini,top_10_share,top_1_share,labour_tax_revenue,capital_tax_revenue,total_tax_revenue,total_transfers,avg_return_wealth_decile_1,avg_return_wealth_decile_2,avg_return_wealth_decile_3,avg_return_wealth_decile_4,avg_return_wealth_decile_5,avg_return_wealth_decile_6,avg_return_wealth_decile_7,avg_return_wealth_decile_8,avg_return_wealth_decile_9,avg_return_wealth_decile_10,avg_return_class_low,avg_return_class_medium,avg_return_class_high
swedish,3.0,0.5228678656304337,0.43159122493111335,0.11598833501042623,1407381429.9167457,130643556.09342243,1538024986.0101678,1538024986.0101676,0.03777847122436583,0.037723861223635115,0.03742576401615149,0.03729457468104736,0.03851538162530791,0.03750948028719072,0.038207647565102365,0.03877136599993776,0.03759170019423976,0.038301775506233766,0.01985932094425842,0.03993616364210337,0.06014200799573843
swedish,4.0,0.5075015130691296,0.420552545029132,0.11237979022385639,1429573434.4508805,138405522.45627555,1567978956.907156,1567978956.907156,0.03781986026435804,0.037761791086991445,0.037043234997606214,0.0367140600085857,0.03755612285723419,0.038356122618087136,0.0381497938723332,0.03895444513753165,0.03726037979446626,0.03847324236293226,0.019875802216190612,0.039836536024065505,0.05984930497875672
swedish,5.0,0.49398869725077854,0.41048220656251627,0.1090801527545252,1453292175.582422,148374027.7586214,1601666203.3410435,1601666203.3410435,0.03656123892987105,0.03773793453149473,0.036647856868357594,0.03629073226865032,0.03778859186924031,0.0379584911397874,0.038091841422568905,0.03905919622619148,0.038134625002145796,0.03886862816040994,0.019571417144069382,0.039726972042543975,0.06010765880672441
swedish,6.0,0.4819802469074981,0.40120945688453297,0.10618127975385262,1470353768.3566172,159051288.3278662,1629405056.6844833,1629405056.684483,0.03732128264589536,0.03724786813761536,0.036491133483415365,0.03717337800237345,0.037635975739508436,0.038391129456441596,0.03899482609180933,0.039518062892329946,0.0380100387629048,0.03906810864798885,0.019947276691774627,0.039991289420053165,0.06023813823839863
swedish,7.0,0.471202429503526,0.3926198385803423,0.10336884297073866,1487300183.9204764,168643182.04851627,1655943365.9689927,1655943365.9689922,0.036316402466905276,0.036926980364742776,0.036782499058107855,0.03688111743625733,0.038034458264162456,0.038872643967026436,0.03899612289423537,0.039724673487177495,0.03832704353379472,0.03937864691714157,0.019992693141172847,0.04012603366521396,0.0600265225631665
swedish,8.0,0.4617033273210285,0.3848930721058424,0.10092736016454348,1494285809.71798,180290435.49720153,1674576245.2151814,1674576245.2151814,0.0360674287769468,0.036799050306803846,0.03702515105712661,0.03640531796583216,0.038302798846394336,0.03834536311273796,0.039171267192128774,0.039395345236913584,0.03856108570158038,0.039973734374662485,0.02018184128594643,0.03991249573887337,0.060178852541791075
swedish,9.0,0.4532218629057583,0.37775987085384805,0.0987895754882864,1507553804.1510606,192673457.03446263,1700227261.185523,1700227261.1855233,0.036175409459222284,0.03664752306392587,0.036629174575356145,0.03678786813845239,0.03784542496979716,0.038385263718367695,0.03987966018700841,0.040078147013406173,0.039597816499220444,0.04013040581161833,0.020450597771310003,0.04013468283254331,0.060274476562014206
swedish,10.0,0.4454307675442952,0.37100434574248503,0.09665140165792382,1515189289.2776024,200350037.83591145,1715539327.113514,1715539327.1135137,0.034799489265020314,0.03641857126969751,0.0366780534678288,0.03731915212355885,0.03753045096785376,0.03851615868639807,0.03905116372754762,0.0403704004101918,0.039116892379085125,0.03939186316698725,0.020088115533104713,0.03977900348423166,0.06022657512192469
swedish,11.0,0.4385685997197948,0.3650234168911075,0.0948351087517318,1516852384.381392,214511602.37446624,1731363986.7558584,1731363986.755858,0.03487060174525623,0.03599256839817927,0.03673096070259761,0.03735793370402207,0.03772734205028931,0.038811147655184966,0.039394653689974905,0.04023738798176832,0.039192979425143146,0.04031669562069392,0.020119667052293993,0.040116170114408045,0.06005591750371835
swedish,12.0,0.4322437637908576,0.35934643335321464,0.09296801753268669,1523745219.3134017,225122462.18124652,1748867681.4946485,1748867681.4946485,0.034367492534471994,0.03615779585243074,0.03684931573882517,0.03678885284999533,0.03715745495395109,0.039246081142526534,0.039555837575384986,0.04042534122165514,0.03971022417083895,0.040245327407063824,0.020167130808008346,0.04004094132273818,0.06010835844485181
